C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2026/05/21,04:40:00,0000000518641070,,0000000518641068
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 04:30:00",6656,0,0,"2026/05/20 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 05:00:00",6732,0,0,"2026/05/20 05:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 05:30:00",6977,0,0,"2026/05/20 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 06:00:00",7292,0,0,"2026/05/20 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 06:30:00",7830,0,0,"2026/05/20 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 07:00:00",8388,0,0,"2026/05/20 07:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 07:30:00",8709,0,0,"2026/05/20 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 08:00:00",8618,0,0,"2026/05/20 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 08:30:00",8244,0,0,"2026/05/20 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 09:00:00",7685,0,0,"2026/05/20 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 09:30:00",7178,0,0,"2026/05/20 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 10:00:00",6898,0,0,"2026/05/20 10:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 10:30:00",6597,0,0,"2026/05/20 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 11:00:00",6476,0,0,"2026/05/20 11:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 11:30:00",6441,0,0,"2026/05/20 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 12:00:00",6311,0,0,"2026/05/20 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 12:30:00",6290,0,0,"2026/05/20 12:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 13:00:00",6231,0,0,"2026/05/20 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 13:30:00",6137,0,0,"2026/05/20 13:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 14:00:00",6305,0,0,"2026/05/20 14:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 14:30:00",6464,0,0,"2026/05/20 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 15:00:00",6808,0,0,"2026/05/20 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 15:30:00",7214,0,0,"2026/05/20 15:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 16:00:00",7739,0,0,"2026/05/20 16:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 16:30:00",8309,0,0,"2026/05/20 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 17:00:00",8871,0,0,"2026/05/20 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/05/20 17:30:00",9369,0,0,"2026/05/20 17:30:01"
