feature,importance
lag_1,0.9694535516901246
rolling_min_4,0.007510905090760439
lag_2,0.0056340033664856425
time_sin,0.0028547432059190495
rolling_std_4,0.001846576931135767
time_of_day,0.0018109663746646782
rolling_max_4,0.0015831312109176217
rolling_mean_4,0.0014816341432907921
solar_radiation,0.0009978271095660359
hour,0.000820712037695102
rolling_mean_48,0.0006444462163426912
time_cos,0.0006062444985349127
rolling_max_48,0.0005673456800445735
lag_336,0.00047577428561032856
apparent_temperature,0.00039055337749835194
lag_48,0.0003845561719350661
month_cos,0.00035901307421221573
temperature,0.0003272298358494347
rolling_min_48,0.0003230991069280184
relative_humidity,0.0003113639190778457
wind_speed,0.0002972159887481883
rolling_std_48,0.0002575771437884501
cloud_cover,0.000257405157608773
day,0.00020377357087783752
day_of_week_sin,0.00010512140950710304
day_of_week,9.088460983184512e-05
precipitation,9.004727393739177e-05
month,8.863079277871747e-05
month_sin,7.06811989437384e-05
minute,6.183865318253534e-05
day_of_week_cos,5.516222296847315e-05
is_weekend,1.8834748685578712e-05
is_raining,1.3961875052115073e-05
year,5.188027495851974e-06
